S. NO.,DISTRICT,SCHOOL LIST,DEPARTMENT,ADDRESS
1,AGRA,"RAJKIYA INTER COLLEGE, AGRA",Basic Education,dahtora bicpuri agra
2,AGRA,"RAJKIYA BALIKA INTER COLLEGE, VIJAY NAGAR",Basic Education,No.Sohanlal Bichpuri Agra
3,AGRA,"RAJKIYA BALIKA INTER COLLEGE, NAINAJAT",Basic Education,Kailash Bichpuri Agra
4,AGRA,"RAJKIYA BALIKA INTER COLLEGE, AWALAKHEDA",Basic Education,baipur bicpuri agra
5,AGRA,"RAJKIYA BALIKA INTER COLLEGE, KALALKHERIYA",Basic Education,pathauli bicpuri agra
6,AGRA,"RAJKIYA BALIKA INTER COLLEGE, KHERAGARH",Basic Education,pathauli bicpuri agra
7,AGRA,"RAJKIYA BALIKA INTER COLLEGE, GARICHANDRAMAN",Basic Education,baipur bicpuri agra
8,AGRA,"RAJKIYA INTER COLLEGE, KACHPURA",Basic Education,dahtora bicpuri agra
9,AGRA,"RAJKIYA HIGH SCHOOL , GANGRAUA",Basic Education,pathauli bicpuri agra
10,AGRA,"RAJKIYA HIGH SCHOOL, BARTAI",Basic Education,pathauli2bichpuri agra
11,AGRA,"RAJKIYA HIGH SCHOOL, JAI NAGAR",Basic Education,Tora Village Barauli Ahir Agra
12,AGRA,"RAJKIYA HIGH SCHOOL, VARNA",Basic Education,Miyapur Barauli Ahir
13,AGRA,"RAJKIYA HIGH SCHOOL, NAGLA JAUHARI",Basic Education,Kalal Khedia Bamroli Katra Agra
14,AGRA,"RAJKIYA HIGH SCHOOL, CHAUMA SHAHPUR",Basic Education,Primary School Budhera Post Shyamon Agra
15,AGRA,"RAJKIYA HIGH SCHOOL, RICHOHA",Basic Education,Barauli Ahir Shamshabad Road Agra
16,AGRA,"RAJKIYA HIGH SCHOOL, BATESHWAR",Basic Education,Ku Akheda Bamrauli Katara Barauli Ahir Agra
17,AGRA,"RAJKIYA HIGH SCHOOL, BALHERA",Basic Education,Lakawali Village Barauli Ahir Agra
18,AGRA,"RAJKIYA HIGH SCHOOL, RAIBHA",Basic Education,Ramnagar Village Barauli Ahir Agra
19,AGRA,"RAJKIYA HIGH SCHOOL, DIGNER",Basic Education,Shahganj Agra
20,AGRA,"RAJKIYA HIGH SCHOOL, JAUPURA",Basic Education,Kothi Meena Bazar field opposite Maharaj Agrasen Vatika Agra
21,AGRA,"RAJKIYA HIGH SCHOOL, BAHARA MAU",Basic Education,Village Badkhera Development Block Akola
22,AGRA,"RAJKIYA HIGH SCHOOL, MITAWALI",Basic Education,Village Sandhan Post Sandhan Achnera
23,AGRA,"RAJKIYA HIGH SCHOOL, OLANDA",Basic Education,tajganj agra
24,AGRA,"RAJKIYA HIGH SCHOOL, CHANDSAURA",Basic Education,Village Kahrai Development Block Barauli Ahir
25,AGRA,"RAJKIYA HIGH SCHOOL, HAZIPUR KHEDA",Basic Education,Nanpur development block Bichpur
26,AGRA,"RAJKIYA HIGH SCHOOL, SAIMARA",Basic Education,Bahrampur Etamadpur
27,AGRA,"RAJKIYA HIGH SCHOOL, SAVORA AUNDH",Basic Education,P.M. Karhak
28,AGRA,"RAJKIYA HIGH SCHOOL, KORAKALA",Basic Education,Karhki Jagner
29,AGRA,"RAJKIYA HIGH SCHOOL, TEHARA",Basic Education,Village Gopalpura Development Block Jaitpur Kalan
30,AGRA,"RAJKIYA HIGH SCHOOL, ABHAIDOPURA",Basic Education,Pantkhera Khandoli
31,AGRA,"RAJKIYA HIGH SCHOOL, KUSHALPURA",Basic Education,gautam nagar yamuna bridge agra
32,AGRA,"RAJKIYA HIGH SCHOOL, NANDAPURA",Basic Education,Saunpur Cheat Kheragarh
33,AGRA,"RAJKIYA HIGH SCHOOL, CHITRAHAT",Basic Education,Serab Pinahat Tehsil Bah
34,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, MIDHAKUR",Basic Education,Saura Saiyan
35,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, SADHAN",Basic Education,Jarauli Samsabad
36,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, SAIMARA",secondary education,shahganj panchkuiyan agra
37,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, BIJHAMAI",secondary education,"Opposite Shahganj Diet, Agra"
38,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, MANKEDHA",secondary education,"Opposite Loha Mandi Police Station, Agra"
39,AGRA,"ABHINAV VIDDYALAY, BIJHOLI BAAH",secondary education,Midhakur development block Vichup Agra
40,AGRA,"SHRI RATN MUNI JAIN INTER COLLEGE, LOHA MANDI",secondary education,Mankeda Akola Agra
41,AGRA,"PRATHAMIK VIDDYALAY, LARAMADA",secondary education,saimra khandauli agra
42,AGRA,"PRATHAMIK VIDDYALAY, RUNAKTA PRATHAM",secondary education,Kalal Kheria Fatehabad Road Agra
43,AGRA,"PRATHAMIK VIDDYALAY, NAGALA REWATI",secondary education,Nananajat Gwalior Road Agra
44,AGRA,"PRATHAMIK VIDDYALAY, MALPURA",secondary education,awal kheda mudi chauraha agra
45,AGRA,"PRATHAMIK VIDDYALAY, BHAGPUR",secondary education,awal kheda mudi chauraha agra
46,AGRA,"PRATHAMIK VIDDYALAY, SAIMARA",secondary education,Sai ki takiya square Agra
47,AGRA,"PRATHAMIK VIDDYALAY, BALUGANJ",secondary education,Mall Road Sadar Agra
48,AGRA,"PRATHAMIK VIDDYALAY, CHIPITOLA",secondary education,tajganj agra
49,AGRA,"PRATHAMIK VIDDYALAY, NAWALPUR",secondary education,Baghmuzzafar Khan Agra
50,AGRA,"PRATHAMIK VIDDYALAY, TORA",secondary education,Near Sursadan Church Road Agra
51,AGRA,P S AHRAN PRATHAM,Basic Education,Akarabad No.2
52,AGRA,P S GADHI BHANDAR,Basic Education,Jirauli Hira Singh
53,AGRA,P S MAHAVAT PUR,Basic Education,Bhilawali
54,AGRA,COMPOSITE VIDYALAYA TEDI BAGHIYA,Basic Education,TohramodAkarabad
55,AGRA,P S SATI NAGAR,Basic Education,Ganiyawali
56,AGRA,P S NAGLA TEEN,Basic Education,Sindhuli
57,AGRA,P S MAGHTAI,Basic Education,without any
58,AGRA,P S BICHPURI,Basic Education,four-way
59,AGRA,P S KALVARI,Basic Education,Barhaul
60,AGRA,P S NAGLA JODHNA,Basic Education,Nagla Muslim
61,AGRA,P S BHOJPUR,Basic Education,Proven
62,AGRA,P S BAKAL PUR,Basic Education,Sirsa
63,AGRA,P S SALEH NAGAR,Basic Education,Nandpura
64,AGRA,P S VAR VAR,Basic Education,nagal assu
65,AGRA,P S PREM NAGAR,Basic Education,Kanhoi
66,ALIGARH,RAJKIYA KANYA INTER COLLEGE  KALAI,Basic Education,Balrampur
67,ALIGARH,RAJKIYA KANYA INTER COLLEGE  IGLAAS,Basic Education,Shihor
68,ALIGARH,NAURANGILAL RAJKIYA INTER COLLEGE ALIGARH,Basic Education,khitkari
69,ALIGARH,RAJKIYA KANYA INTER COLLEGE ALIGARH,Basic Education,nagal asha
70,ALIGARH,SMT. SHANTI DEVI RAJKIYA KANYA INTER COLLEGE DORAUMOD,Basic Education,Bonner
71,ALIGARH,RAJKIYA KANYA INTER COLLEGE GODHA,Basic Education,Comp0v0 Kodra
72,ALIGARH,SMT. REVATI GOYAL RAJKIYA KANYA INTER COLLEGE JATTARI,Basic Education,except
73,ALIGARH,RAJKIYA KANYA INTER COLLEGE NARAUNA,Basic Education,sujanpur
74,ALIGARH,RAJKIYA INTER COLLEGE VIDHIPUR SEHNAUL,Basic Education,companion
